GROUP,IND,APER
117.893709049,35.0818751027,65536.0
34.2397112991,6.11414199569,32768.0
11.2400675177,1.98534252835,16384.0
3.649820989,0.637625754198,8192.0
1.17943326824,0.205331026624,4096.0
0.380544927862,0.0661763307156,2048.0
0.122722375421,0.021333624859,1024.0
0.0395705820034,0.00687801516565,512.0
0.0127584773088,0.00221754964895,256.0
0.00411356223094,0.000714969244569,128.0
0.00132627927376,0.000230516803981,64.0
0.000427613243723,7.43221409039e-05,32.0
0.000137869141213,2.39626008351e-05,16.0
4.44511407522e-05,7.72591170062e-06,8.0
1.43317336878e-05,2.49095310778e-06,4.0
4.62077204588e-06,8.03121821491e-07,2.0
1.48980902992e-06,2.58938570141e-07,1.0
4.80337355668e-07,8.34859008592e-08,0.5
1.54867670688e-07,2.69170072897e-08,0.25
4.99308754343e-08,8.67831317919e-09,0.125
1.60997402077e-08,2.79783307633e-09,0.0625
5.19127496545e-09,9.02247165868e-10,0.03125
1.6735839381e-09,2.91237256533e-10,0.015625
5.40133271443e-10,9.40190147958e-11,0.0078125
1.73777436885e-10,2.99564817396e-11,0.00390625
5.57136559109e-11,9.94759830064e-12,0.001953125
